"char","unicode","unicode_name","frequency"
"I","\u10049","LATIN CAPITAL LETTER I","42429"
"t","\u10074","LATIN SMALL LETTER T","1178157"
"e","\u10065","LATIN SMALL LETTER E","4935720"
"m","\u1006d","LATIN SMALL LETTER M","457627"
"a","\u10061","LATIN SMALL LETTER A","1154162"
"r","\u10072","LATIN SMALL LETTER R","1405366"
"n","\u1006e","LATIN SMALL LETTER N","2538355"
"h","\u10068","LATIN SMALL LETTER H","593990"
"o","\u1006f","LATIN SMALL LETTER O","1045357"
"z","\u1007a","LATIN SMALL LETTER Z","57376"
"v","\u10076","LATIN SMALL LETTER V","843600"
"d","\u10064","LATIN SMALL LETTER D","1383036"
"l","\u1006c","LATIN SMALL LETTER L","768008"
"s","\u10073","LATIN SMALL LETTER S","1136580"
"c","\u10063","LATIN SMALL LETTER C","637996"
"i","\u10069","LATIN SMALL LETTER I","1160431"
"g","\u10067","LATIN SMALL LETTER G","476614"
"w","\u10077","LATIN SMALL LETTER W","239030"
"p","\u10070","LATIN SMALL LETTER P","218166"
"f","\u10066","LATIN SMALL LETTER F","178686"
"u","\u10075","LATIN SMALL LETTER U","342469"
"b","\u10062","LATIN SMALL LETTER B","307321"
"k","\u1006b","LATIN SMALL LETTER K","147785"
"j","\u1006a","LATIN SMALL LETTER J","329806"
"y","\u10079","LATIN SMALL LETTER Y","143417"
"x","\u10078","LATIN SMALL LETTER X","75975"
"V","\u10056","LATIN CAPITAL LETTER V","2346"
"A","\u10041","LATIN CAPITAL LETTER A","3133"
"W","\u10057","LATIN CAPITAL LETTER W","1737"
"q","\u10071","LATIN SMALL LETTER Q","14019"
"?","\u1003f","QUESTION MARK","3023"
"K","\u1004b","LATIN CAPITAL LETTER K","43"
"G","\u10047","LATIN CAPITAL LETTER G","983"
"½","\u100bd","VULGAR FRACTION ONE HALF","4101"
".","\u1002e","FULL STOP","8038"
"T","\u10054","LATIN CAPITAL LETTER T","4442"
"E","\u10045","LATIN CAPITAL LETTER E","11819"
"B","\u10042","LATIN CAPITAL LETTER B","1867"
"C","\u10043","LATIN CAPITAL LETTER C","2536"
"M","\u1004d","LATIN CAPITAL LETTER M","1078"
"S","\u10053","LATIN CAPITAL LETTER S","4293"
",","\u1002c","COMMA","7"
"N","\u1004e","LATIN CAPITAL LETTER N","583"
"L","\u1004c","LATIN CAPITAL LETTER L","23"
"O","\u1004f","LATIN CAPITAL LETTER O","1162"
"1","\u10031","DIGIT ONE","237"
"2","\u10032","DIGIT TWO","111"
"7","\u10037","DIGIT SEVEN","153"
"9","\u10039","DIGIT NINE","89"
"8","\u10038","DIGIT EIGHT","33"
"0","\u10030","DIGIT ZERO","50"
"'","\u10027","APOSTROPHE","70"
"3","\u10033","DIGIT THREE","84"
":","\u1003a","COLON","62"
"D","\u10044","LATIN CAPITAL LETTER D","3193"
"6","\u10036","DIGIT SIX","64"
"R","\u10052","LATIN CAPITAL LETTER R","45"
"4","\u10034","DIGIT FOUR","38"
"5","\u10035","DIGIT FIVE","101"
";","\u1003b","SEMICOLON","1"
"à","\u100e0","LATIN SMALL LETTER A WITH GRAVE","4"
"P","\u10050","LATIN CAPITAL LETTER P","991"
"J","\u1004a","LATIN CAPITAL LETTER J","132"
"Z","\u1005a","LATIN CAPITAL LETTER Z","29"
"H","\u10048","LATIN CAPITAL LETTER H","1200"
"U","\u10055","LATIN CAPITAL LETTER U","115"
"Y","\u10059","LATIN CAPITAL LETTER Y","59"
"Q","\u10051","LATIN CAPITAL LETTER Q","35"
"°","\u100b0","DEGREE SIGN","17"
"!","\u10021","EXCLAMATION MARK","1"
"-","\u1002d","HYPHEN-MINUS","3"
"F","\u10046","LATIN CAPITAL LETTER F","2"
